YEAR,state abb,RATE,DEATHS,state lowercase,STATE,
2018,MD,37.2,"2,324",maryland,Maryland,
2018,MA,32.8,"2,241",massachusetts,Massachusetts,
2018,MI,26.6,"2,591",michigan,Michigan,
2018,MN,11.5,636,minnesota,Minnesota,
2018,MS,10.8,310,mississippi,Mississippi,
2018,MO,27.5,"1,610",missouri,Missouri,
2018,MT,12.2,125,montana,Montana,
2018,NE,7.4,138,nebraska,Nebraska,
2018,NV,21.2,688,nevada,Nevada,
2018,NH,35.8,452,new hampshire,New Hampshire,
2018,NJ,33.1,"2,900",new jersey,New Jersey,
2018,NM,26.7,537,new mexico,New Mexico,
2018,NY,18.4,"3,697",new york,New York,
2018,NC,22.4,"2,259",north carolina,North Carolina,
2018,ND,10.2,70,north dakota,North Dakota,
2018,OH,35.9,"3,980",ohio,Ohio,
2018,OK,18.4,716,oklahoma,Oklahoma,
2018,OR,12.6,547,oregon,Oregon,
2018,PA,36.1,"4,415",pennsylvania,Pennsylvania,
2018,RI,30.1,317,rhode island,Rhode Island,
2018,SC,22.6,"1,125",south carolina,South Carolina,
2018,SD,6.9,57,south dakota,South Dakota,
2018,TN,27.5,"1,823",tennessee,Tennessee,
2018,TX,10.4,"3,005",texas,Texas,
2018,UT,21.2,624,utah,Utah,
2018,VT,26.6,153,vermont,Vermont,
2018,VA,17.1,"1,448",virginia,Virginia,
2018,WA,14.8,"1,164",washington,Washington,
2018,WV,51.5,856,west virginia,West Virginia,
2018,WI,19.2,"1,079",wisconsin,Wisconsin,
2018,WY,11.1,66,wyoming,Wyoming,
2017,AL,18,835,alabama,Alabama,
2017,AK,20.2,147,alaska,Alaska,
2017,AZ,22.2,"1,532",arizona,Arizona,
2017,AR,15.5,446,arizona,Arizona,
2017,CA,11.7,"4,868",california,California,
2017,CO,17.6,"1,015",colorado,Colorado,
2017,CT,30.9,"1,072",conneticuit,Conneticuit,
2017,DE,37,338,delaware,Delaware,
2017,FL,25.1,"5,088",flordia,Flordia,
2017,GA,14.7,"1,537",georgia,Georgia,
2017,HI,13.8,203,hawaii,Hawaii,
2017,ID,14.4,236,idaho,Idaho,
2017,IL,21.6,"2,778",illinois,Illinois,
2017,IN,29.4,"1,852",indiana,Indiana,
2017,IA,11.5,341,iowa,Iowa,
2017,KS,11.8,333,kansas,Kansas,
2017,KY,37.2,"1,566",kentucky,Kentucky,
2017,LA,24.5,"1,108",louisiana,Louisiana,
2017,ME,34.4,424,maine,Maine,
2017,MD,36.3,"2,247",maryland,Maryland,
2017,MA,31.8,"2,168",massachusetts,Massachusetts,
2017,MI,27.8,"2,694",michigan,Michigan,
2017,MN,13.3,733,minnesota,Minnesota,
2017,MS,12.2,354,mississippi,Mississippi,
2017,MO,23.4,"1,367",missouri,Missouri,
2017,MT,11.7,119,montana,Montana,
2017,NE,8.1,152,nebraska,Nebraska,
2017,NV,21.6,676,nevada,Nevada,
2017,NH,37,467,new hampshire,New Hampshire,
2017,NJ,30,"2,685",new jersey,New Jersey,
2017,NM,24.8,493,new mexico,New Mexico,
2017,NY,19.4,"3,921",new york,New York,
2017,NC,24.1,"2,414",north carolina,North Carolina,
2017,ND,9.2,68,north dakota,North Dakota,
2017,OH,46.3,"5,111",ohio,Ohio,
2017,OK,20.1,775,oklahoma,Oklahoma,
2017,OR,12.4,530,oregon,Oregon,
2017,PA,44.3,"5,388",pennsylvania,Pennsylvania,
2017,RI,31,320,rhode island,Rhode Island,
2017,SC,20.5,"1,008",south carolina,South Carolina,
2017,SD,8.5,73,south dakota,South Dakota,
2017,TN,26.6,"1,776",tennessee,Tennessee,
2017,TX,10.5,"2,989",texas,Texas,
2017,UT,22.3,650,utah,Utah,
2017,VT,23.2,134,vermont,Vermont,
2017,VA,17.9,"1,507",virginia,Virginia,
2017,WA,15.2,"1,169",washington,Washington,
2017,WV,57.8,974,west virginia,West Virginia,
2017,WI,21.2,"1,177",wisconsin,Wisconsin,
2017,WY,12.2,69,wyoming,Wyoming,
2016,AL,16.2,756,alabama,Alabama,
2016,AK,16.8,128,alaska,Alaska,
2016,AZ,20.3,"1,382",arizona,Arizona,
2016,AR,14,401,arizona,Arizona,
2016,CA,11.2,"4,654",california,California,
2016,CO,16.6,942,colorado,Colorado,
2016,CT,27.4,971,conneticuit,Conneticuit,
2016,DE,30.8,282,delaware,Delaware,
2016,FL,23.7,"4,728",flordia,Flordia,
2016,GA,13.3,"1,394",georgia,Georgia,
2016,HI,12.8,191,hawaii,Hawaii,
2016,ID,15.2,243,idaho,Idaho,
2016,IL,18.9,"2,411",illinois,Illinois,
2016,IN,24,"1,526",indiana,Indiana,
2016,IA,10.6,314,iowa,Iowa,
2016,KS,11.1,313,kansas,Kansas,
2016,KY,33.5,"1,419",kentucky,Kentucky,
2016,LA,21.8,996,louisiana,Louisiana,
2016,ME,28.7,353,maine,Maine,
2016,MD,33.2,"2,044",maryland,Maryland,
2016,MA,33,"2,227",massachusetts,Massachusetts,
2016,MI,24.4,"2,347",michigan,Michigan,
2016,MN,12.5,672,minnesota,Minnesota,
2016,MS,12.1,352,mississippi,Mississippi,
2016,MO,23.6,"1,371",missouri,Missouri,
2016,MT,11.7,119,montana,Montana,
2016,NE,6.4,120,nebraska,Nebraska,
2016,NV,21.7,665,nevada,Nevada,
2016,NH,39,481,new hampshire,New Hampshire,
2016,NJ,23.2,"2,056",new jersey,New Jersey,
2016,NM,25.2,500,new mexico,New Mexico,
2016,NY,18,"3,638",new york,New York,
2016,NC,19.7,"1,956",north carolina,North Carolina,
2016,ND,10.6,77,north dakota,North Dakota,
2016,OH,39.1,"4,329",ohio,Ohio,
2016,OK,21.5,813,oklahoma,Oklahoma,
2016,OR,11.9,506,oregon,Oregon,
2016,PA,37.9,"4,627",pennsylvania,Pennsylvania,
2016,RI,30.8,326,rhode island,Rhode Island,
2016,SC,18.1,879,south carolina,South Carolina,
2016,SD,8.4,69,south dakota,South Dakota,
2016,TN,24.5,"1,630",tennessee,Tennessee,
2016,TX,10.1,"2,831",texas,Texas,
2016,UT,22.4,635,utah,Utah,
2016,VT,22.2,125,vermont,Vermont,
2016,VA,16.7,"1,405",virginia,Virginia,
2016,WA,14.5,"1,102",washington,Washington,
2016,WV,52,884,west virginia,West Virginia,
2016,WI,19.3,"1,074",wisconsin,Wisconsin,
2016,WY,17.6,99,wyoming,Wyoming,
2015,AL,15.7,736,alabama,Alabama,
2015,AK,16,122,alaska,Alaska,
2015,AZ,19,"1,274",arizona,Arizona,
2015,AR,13.8,392,arizona,Arizona,
2015,CA,11.3,"4,659",california,California,
2015,CO,15.4,869,colorado,Colorado,
2015,CT,22.1,800,conneticuit,Conneticuit,
2015,DE,22,198,delaware,Delaware,
2015,FL,16.2,"3,228",flordia,Flordia,
2015,GA,12.7,"1,302",georgia,Georgia,
2015,HI,11.3,169,hawaii,Hawaii,
2015,ID,14.2,218,idaho,Idaho,
2015,IL,14.1,"1,835",illinois,Illinois,
2015,IN,19.5,"1,245",indiana,Indiana,
2015,IA,10.3,309,iowa,Iowa,
2015,KS,11.8,329,kansas,Kansas,
2015,KY,29.9,"1,273",kentucky,Kentucky,
2015,LA,19,861,louisiana,Louisiana,
2015,ME,21.2,269,maine,Maine,
2015,MD,20.9,"1,285",maryland,Maryland,
2015,MA,25.7,"1,724",massachusetts,Massachusetts,
2015,MI,20.4,"1,980",michigan,Michigan,
2015,MN,10.6,581,minnesota,Minnesota,
2015,MS,12.3,351,mississippi,Mississippi,
2015,MO,17.9,"1,066",missouri,Missouri,
2015,MT,13.8,138,montana,Montana,
2015,NE,6.9,126,nebraska,Nebraska,
2015,NV,20.4,619,nevada,Nevada,
2015,NH,34.3,422,new hampshire,New Hampshire,
2015,NJ,16.3,"1,454",new jersey,New Jersey,
2015,NM,25.3,501,new mexico,New Mexico,
2015,NY,13.6,"2,754",new york,New York,
2015,NC,15.8,"1,567",north carolina,North Carolina,
2015,ND,8.6,61,north dakota,North Dakota,
2015,OH,29.9,"3,310",ohio,Ohio,
2015,OK,19,725,oklahoma,Oklahoma,
2015,OR,12,505,oregon,Oregon,
2015,PA,26.3,"3,264",pennsylvania,Pennsylvania,
2015,RI,28.2,310,rhode island,Rhode Island,
2015,SC,15.7,761,south carolina,South Carolina,
2015,SD,8.4,65,south dakota,South Dakota,
2015,TN,22.2,"1,457",tennessee,Tennessee,
